schuin3,	0.170000,	0.202000,	0.168984,	0.124000,	0.000000,	0.168984,	PORT 0 NAAR PORT 3, B8.8, O8.4
schuin4,	0.124000,	0.202000,	0.168984,	0.170000,   0.000000,	0.168984,	PORT 1 NAAR PORT 2, B8.6, O8.2
schuin1,	0.202000,	0.170000,	0.168984,	0.000000,	0.170000,	0.168984,	PORT 0 NAAR PORT 2, L8.2, R8.8
schuin2,	0.202000,	0.124000,	0.168984,	0.000000,	0.124000,	0.168984,	PORT 1 NAAR PORT 3, L8.4, R8.6
schuin3,	0.202000,	0.170000,	0.168984,	0.000000,	0.124000,	0.168984,	PORT 0 NAAR PORT 3, L8.2, B8.6
schuin4,	0.202000,	0.124000,	0.168984,	0.000000,	0.170000,	0.168984,	PORT 1 NAAR PORT 2, L8.4, B8.8
schuin1,	0.032000,	0.00000,	0.033000,	0.032000,	0.202000,	0.123656, 	PORT 0 NAAR PORT 2, O2.8, B6.2
schuin2,	0.078000,	0.00000,	0.033000,	0.078000,	0.202000,	0.123656, 	PORT 1 NAAR PORT 3, O2.6, B6.4
schuin3,	0.032000,	0.00000,	0.033000,	0.078000,	0.202000,	0.123656, 	PORT 0 NAAR PORT 3, O2.8, B6.4
schuin4,	0.078000,	0.00000,	0.033000,	0.032000,	0.202000,	0.123656, 	bord1 meting4, O2.6, B6.2
schuin1,	0.124000,	0.00000,	0.033000,	0.124000,	0.202000,	0.123656, 	PORT 0 NAAR PORT 2, O2.4, B6.6
schuin2,	0.170000,	0.00000,	0.033000,	0.170000,	0.202000,	0.123656, 	PORT 1 NAAR PORT 3, O2.2, B6.8
schuin3,	0.124000,	0.00000,	0.033000,	0.170000,	0.202000,	0.123656, 	PORT 0 NAAR PORT 3, O2.4, B6.8
schuin4,	0.170000,	0.00000,	0.033000,	0.124000,	0.202000,	0.123656, 	PORT 1 NAAR PORT 2, O2.2, B6.6
schuin1,	0.202000,	0.032000,	0.033000,	0.000000,	0.032000,	0.123656, 	PORT 0 NAAR PORT 2, L2.8, R6.2
schuin2,	0.202000,	0.078000,	0.033000,	0.000000,	0.078000,	0.123656, 	PORT 1 NAAR PORT 3, L2.6, R6.4
schuin3,	0.202000,	0.032000,	0.033000,	0.000000,	0.078000,	0.123656, 	PORT 0 NAAR PORT 3, L2.8, R6.4
